ZIP Code Year,over Year Growth,T,otal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure,Tot,al Exposure
94597,263.5%,$,"8 3,187,995",59.1%,$,"2 2,884,301",13.5%,$,"1 4,380,805",-1.4%,$,"1 2,668,717",$,"1 2,848,285"
94598,136.6%,$,"7 9,569,783",179.6%,$,"3 3,625,748",-13.5%,$,"1 2,026,875",15.0%,$,"1 3,907,671",$,"1 2,090,438"
94801,108.1%,$,"8 4,755,792",12.1%,$,"4 0,737,229",3.9%,$,"3 6,331,193",14.0%,$,"3 4,964,569",$,"3 0,663,352"
94803,279.8%,$,"2 85,337,478",76.0%,$,"7 5,137,158",93.6%,$,"4 2,687,320",45.5%,$,"2 2,052,261",$,"1 5,161,400"
94804,140.2%,$,"8 2,262,026",42.9%,$,"3 4,247,149",-15.8%,$,"2 3,958,207",26.0%,$,"2 8,445,368",$,"2 2,570,113"
94805,174.5%,$,"8 8,206,139",125.6%,$,"3 2,135,907",-4.2%,$,"1 4,241,977",67.9%,$,"1 4,862,369",$,"8 ,851,676"
94806,162.3%,$,"8 1,963,492",12.1%,$,"3 1,245,076",18.6%,$,"2 7,878,680",-2.6%,$,"2 3,515,602",$,"2 4,131,202"
95531,146.0%,$,"1 28,644,421",57.7%,$,"5 2,299,310",133.7%,$,"3 3,158,787",81.2%,$,"1 4,187,874",$,"7 ,829,592"
95543,4.5%,$,"4 8,071,765",24.8%,$,"4 6,023,405",16.1%,$,"3 6,884,285",100.1%,$,"3 1,773,589",$,"1 5,875,341"
95548,66.7%,$,"8 ,860,223",44.2%,$,"5 ,316,033",74.1%,$,"3 ,687,692",191.4%,$,"2 ,118,051",$,"7 26,910"
95567,153.5%,$,"9 ,114,983",133.3%,$,"3 ,595,076",-13.9%,$,"1 ,541,226",71.6%,$,"1 ,790,191",$,"1 ,043,247"
