zip,expos_24,expos_23,expos_22,expos_21,expos_20
91350,687553815,312656397,203269365,164813038,108038979
91351,417238645,161911672,88685386,81209298,60647906
91352,497804749,354629880,288291428,254260434,244899476
91354,490379686,110096517,51918900,37180003,29478704
91355,388530765,101949458,26631044,11823794,10528049
91356,1499802436,504033429,373738685,312200385,208635373
91360,492053836,163494907,94641526,78124523,58465613
91361,1691974386,713455882,620466122,473520694,249756696
91362,1488993035,466478479,278035174,190402669,109463102
91364,1295042081,531254157,368058476,321699021,229989357
91367,393855787,142339703,108219710,92579668,83388801
91377,530085619,144368404,82724601,73171773,48795474
91381,778750383,262317202,160196618,98865294,75267790
91384,1623004357,991567710,751934251,424224045,293126822
91387,1713465549,801342718,505226266,405993487,256345988
91390,1291532659,750314916,601119741,471273757,342472276
91401,135366854,81409722,56013074,57540786,56576573
91402,171069996,111025066,99113848,91692591,89943603
91403,959860582,661949483,493797491,367377713,260528683
91405,118186859,97975779,70140554,62797097,65882359
91406,153806007,92168511,84635703,83912732,77273725
91411,51154600,26969218,25066906,26787099,22418527
91423,1141388852,887536196,708409123,517184552,339832467
91436,1315345613,524706630,346833321,263078655,131131038
91501,286858093,138258328,132438892,121135314,109436701
91502,9744260,7731486,7025353,4080637,4731588
91504,327942091,155867911,112197590,100357689,89867917
91505,70791049,38761409,34199493,33852706,31633616
91506,48614840,32133934,23143553,20095724,19755288
91601,103999684,70802058,53585121,56432815,53637610
91602,59178227,29753028,14545091,10283271,11020024
91604,1355243639,980924427,817900917,626883473,389958638
91605,217276941,167511323,129579973,125329922,125232996
91606,147368796,113023612,105459779,108619494,92846411
91607,65074865,21545320,21049520,18008679,18350537
91701,191152106,88116163,52180727,36172405,29107830
91702,311555720,190717222,142140484,138003502,123661596
91706,289721810,231561584,192661138,178708309,181023865
91708,28264885,6324605,4551065,4583492,3756961
91709,1934870702,1047912414,722158522,568285442,391948535
91710,142196213,71879685,45285652,45165775,36062833
91711,375163995,186324086,136591694,109699087,88167775
91722,92169545,67620852,49554186,47431977,48176880
91723,38203117,22181214,22360816,12511761,14217755
91724,162790576,122432965,95554949,86523270,80535244
91730,51753553,19493164,15247308,14046691,15160548
91731,112780768,72910014,62767948,58453122,57460460
91732,182133221,127847046,109902922,98971324,99005931
91733,159281591,124372184,92716878,93866168,82422046
91737,358682617,190838772,144469286,112128008,93824793
91739,361840148,170529629,93278079,78151784,53287628
91740,77162741,40624281,32936067,25407491,26808789
91741,624128307,357065350,269029928,224896980,182458622
91744,373312458,276047373,244236907,239199905,226990196
91745,579662304,333082354,273202687,230837654,204132236
91746,164938771,118115573,96710557,91184252,84601902
91748,429230280,195844537,132522869,115264959,92330349
91750,525428032,219073037,144958576,106935086,86214803
91752,161598397,59204892,36665747,32463277,27662923
91754,116982227,67590369,43440786,40422089,36692873
91755,65505863,39966875,27918227,27058667,23858345
91759,94683556,78897405,66013849,51748177,49452348
91761,156015006,60347814,42117858,29791582,34138830
91762,156566333,57678796,34958234,34582022,28806127
91763,88108062,38429092,22431710,19613712,17969949
91764,101923664,57584922,36953251,33767955,28288861
