ZIP,exposure_Sep24,exposure_Sep23,exposure_Sep22,exposure_Sep21,exposure_Sep20,policies_Sep24,policies_Sep23,policies_Sep22,policies_Sep21,policies_Sep20
92571,287746696,105964552,70877481,62273406,53769763,430,203,161,159,155
92582,179320322,62541314,43047327,20705758,14874973,156,78,61,40,38
92583,196572705,62568691,34700746,26441891,19221650,338,117,77,67,59
92584,479152344,154275136,88431184,53660776,26798633,633,257,175,122,61
92585,193746166,48634831,26981757,19297056,10207557,250,72,44,31,27
92586,139236302,19641914,9907787,5409709,5195775,234,38,21,14,14
92587,487263174,131791637,51282785,43363591,26012976,584,224,108,96,64
92590,755322770,579094502,395921421,207611055,130484927,408,347,265,152,102
92591,171211095,62258365,53657902,22489130,9275861,153,50,38,20,14
92592,1546521817,791227298,552575005,264009015,127196046,1313,654,474,258,160
92595,859026012,390105872,159971937,125287149,70818152,1212,704,303,250,152
92596,301902093,80121547,41049978,24494001,14643068,336,102,64,42,27
92602,176906204,48191328,24817263,25253545,8458205,116,31,18,17,7
92603,300480282,76417438,42284308,37810989,21945423,161,34,20,17,13
92604,36134552,12760320,4076873,585390,549662,40,10,4,1,1
92606,14586738,2315202,3392853,812550,2169211,11,3,4,1,3
92610,263326322,89048788,47803972,27731264,10687277,228,83,49,35,16
92612,18628694,1925750,1171100,0,0,37,3,1,0,0
92614,20149149,3846560,2666705,1000674,952341,22,6,4,3,3
92617,2517255,10000,10000,0,0,2,1,1,0,0
92618,344223876,83489038,22837535,18352415,4736254,278,68,21,20,6
92620,158650474,44100643,15968448,12873434,8681358,157,45,19,18,13
92624,18487997,9190887,1421714,1935728,1081752,14,7,4,4,3
92625,64144141,20979138,8489476,6813038,7136366,30,11,6,7,7
92626,27271019,5489033,3065283,2136157,3864343,13,7,6,4,7
92627,47682659,11667560,6483888,5839466,6515553,34,12,5,11,16
92629,77911431,42401903,18360769,12320096,7140020,51,22,13,7,7
92630,223381392,55616786,20783061,16335742,15504311,230,58,27,25,22
92637,13260029,2126151,314218,432575,275000,52,7,2,3,3
92646,40660062,13439337,10466746,7231780,3019615,52,17,13,12,7
92647,31581008,9061906,5871478,5742765,3990645,38,11,6,7,6
92648,51007498,7804514,8208681,8022943,9486520,37,9,7,10,13
92649,56490376,15325896,13061690,7538160,5596718,31,9,9,10,9
92651,1617305998,937872402,672879520,459623934,310919002,969,589,467,375,301
92653,105083140,27645730,16416587,14343453,18224559,80,25,15,15,17
92655,8622663,1478687,275453,262845,159397,12,3,2,2,1
92656,259786040,77131778,32471617,28964911,22377407,223,75,41,42,38
92657,578135297,271430023,214134122,182660932,94579881,261,125,103,93,56
